Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Total_Cases_per_1M_population,Deaths_per_1M_population,Total_Tests,Tests per_1M_population,Population
Afghanistan,131586,5561,78521,47504,3305,140,647029,16250,39816257
Armenia,226135,4540,217490,4105,76168,1529,1224512,412449,2968881
Azerbaijan,336788,4980,330606,1202,32915,487,3821726,373505,10232056
Bahrain,266919,1371,264125,1423,151549,778,5137699,2917031,1761277
Bangladesh,989219,15792,856346,117081,5946,95,6866682,41277,166356515
Bhutan,2252,1,1930,321,2886,1,798573,1023498,780239
Brunei,266,3,255,8,602,7,143218,324216,441736
Cambodia,59045,855,50917,7273,3483,50,1558086,91902,16953842
China,91989,4636,86902,451,64,3,160000000,111163,1439323776
Cyprus,81581,380,73064,8137,67073,312,8197456,6739694,1216295
Georgia,374836,5421,357804,11611,94148,1362,6050255,1519643,3981367
Hong Kong,11950,212,11648,90,1581,28,20066916,2654773,7558808
India,30752950,405967,29888284,458699,22064,291,427016605,306371,1393790539
Indonesia,2455912,64631,2023548,367733,8883,234,21423547,77492,276462011
Iran,3327526,85397,2981019,261110,39108,1004,23967488,281690,85084543
Iraq,1406289,17444,1287903,100942,34186,424,12088184,293854,41136639
Israel,845123,6434,834998,3691,90620,690,15418324,1653262,9326000
Japan,811712,14897,780011,16804,6438,118,16846353,133614,126081982
Jordan,755480,9812,738873,6795,73304,952,8030848,779236,10306054
Kazakhstan,448000,4544,408063,35393,23573,239,11575012,609057,19004802
Kuwait,370932,2071,350471,18390,85573,478,3093962,713772,4334667
Kyrgyzstan,137058,2083,116358,18617,20662,314,1372432,206898,6633385
Laos,2537,3,2104,430,344,0.4,305013,41314,7382711
Lebanon,546766,7869,533932,4965,80474,1158,4731376,696375,6794295
Macao,55,0,53,2,84,0,4580,6957,658321
Malaysia,817838,5980,731193,80665,24944,182,15228292,464460,32787057
Maldives,74848,213,71758,2877,136038,387,1051986,1912010,550199
Mongolia,134270,660,96513,37097,40299,198,3343725,1003564,3331849
Myanmar,180055,3621,142309,34125,3287,66,2825822,51584,54780696
Nepal,651380,9320,615613,26447,21955,314,3396753,114491,29668205
Oman,281688,3371,250564,27753,53777,644,1550000,295911,5238056
Pakistan,969476,22520,911383,35573,4304,100,14960221,66419,225239919
Palestine,314869,3577,309251,2041,60302,685,1917168,367168,5221495
Philippines,1461455,25720,1383833,51902,13159,232,15364993,138346,111061804
Qatar,223031,598,220904,1529,79433,213,2207701,786273,2807805
South Korea,165344,2036,152498,10810,3222,40,10844217,211330,51314106
Saudi Arabia,497773,7933,478127,11713,14076,224,22709413,642162,35363991
Singapore,62678,36,62363,279,10629,6,14116339,2393770,5897115
Sri Lanka,269946,3391,239584,26971,12553,158,4056906,188653,21504594
Syria,25753,1895,21872,1986,1436,106,103566,5776,17931015
Taiwan,15185,730,12838,1617,636,31,2811391,117825,23860654
Tajikistan,13719,97,13461,161,1406,10,980,71434,9754608
Thailand,317506,2534,240077,74895,4537,36,8129670,116174,69978234
Timor-Leste,9657,25,8728,904,7186,19,94367,70219,1343901
Turkey,5465094,50096,5333759,81239,64098,588,62569538,733859,85261007
UAE,645653,1849,623826,19978,64489,185,59925376,5985500,10011758
Uzbekistan,115011,764,110377,3870,3387,22,1377915,40573,33961507
Vietnam,24810,104,8950,15756,253,1,8434266,85864,98228672
Yemen,6936,1365,4119,1452,227,45,121339,3979,30491342
